InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536408,22620,4 TRADITIONAL SPINNING TOPS,12,01-12-2010 11:41,1.25,14307,United Kingdom
536408,22619,SET OF 6 SOLDIER SKITTLES,4,01-12-2010 11:41,3.75,14307,United Kingdom
536408,21705,BAG 500g SWIRLY MARBLES,12,01-12-2010 11:41,1.65,14307,United Kingdom
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,01-12-2010 11:45,6.35,17908,United Kingdom
536409,21479,WHITE SKULL HOT WATER BOTTLE ,1,01-12-2010 11:45,3.75,17908,United Kingdom
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,01-12-2010 11:45,4.95,17908,United Kingdom
536409,22785,SQUARECUSHION COVER PINK UNION FLAG,1,01-12-2010 11:45,6.75,17908,United Kingdom
536409,22975,SPACEBOY CHILDRENS EGG CUP,1,01-12-2010 11:45,1.25,17908,United Kingdom
536409,22972,CHILDREN'S SPACEBOY MUG,1,01-12-2010 11:45,1.65,17908,United Kingdom
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,01-12-2010 11:45,2.1,17908,United Kingdom
536409,22568,FELTCRAFT CUSHION OWL,1,01-12-2010 11:45,3.75,17908,United Kingdom
536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,1,01-12-2010 11:45,2.1,17908,United Kingdom
536409,22664,TOY TIDY DOLLY GIRL DESIGN,1,01-12-2010 11:45,2.1,17908,United Kingdom
536409,21609,SET 12 LAVENDER  BOTANICAL T-LIGHTS,1,01-12-2010 11:45,2.95,17908,United Kingdom
536409,21866,UNION JACK FLAG LUGGAGE TAG,1,01-12-2010 11:45,1.25,17908,United Kingdom
536409,20669,RED HEART LUGGAGE TAG,1,01-12-2010 11:45,1.25,17908,United Kingdom
536409,90129F,RED GLASS TASSLE BAG CHARM,1,01-12-2010 11:45,2.95,17908,United Kingdom
536409,90210B,CLEAR ACRYLIC FACETED BANGLE,1,01-12-2010 11:45,2.95,17908,United Kingdom
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,1,01-12-2010 11:45,6.35,17908,United Kingdom
536409,21955,DOORMAT UNION JACK GUNS AND ROSES,1,01-12-2010 11:45,7.95,17908,United Kingdom
536409,72802C,VANILLA SCENT CANDLE JEWELLED BOX,1,01-12-2010 11:45,4.25,17908,United Kingdom
536409,22109,FULL ENGLISH BREAKFAST PLATE,1,01-12-2010 11:45,3.75,17908,United Kingdom
536409,85116,BLACK CANDELABRA T-LIGHT HOLDER,5,01-12-2010 11:45,2.1,17908,United Kingdom
536409,22531,MAGIC DRAWING SLATE CIRCUS PARADE  ,1,01-12-2010 11:45,0.42,17908,United Kingdom
536409,21811,CHRISTMAS HANGING HEART WITH BELL,1,01-12-2010 11:45,1.25,17908,United Kingdom
536409,22183,CAKE STAND VICTORIAN FILIGREE MED,1,01-12-2010 11:45,6.75,17908,United Kingdom
536409,21678,PAISLEY PATTERN  STICKERS,6,01-12-2010 11:45,0.85,17908,United Kingdom
536409,21676,FLOWERS  STICKERS,6,01-12-2010 11:45,0.85,17908,United Kingdom
536409,84625A,PINK NEW BAROQUECANDLESTICK CANDLE,1,01-12-2010 11:45,2.95,17908,United Kingdom
536409,84625C,BLUE NEW BAROQUE CANDLESTICK CANDLE,3,01-12-2010 11:45,2.95,17908,United Kingdom
536409,21931,JUMBO STORAGE BAG SUKI,2,01-12-2010 11:45,1.95,17908,United Kingdom
536409,85169B,BLACK LOVE BIRD CANDLE,12,01-12-2010 11:45,1.25,17908,United Kingdom
536409,16238,PARTY TIME PENCIL ERASERS,28,01-12-2010 11:45,0.21,17908,United Kingdom
536409,20668,DISCO BALL CHRISTMAS DECORATION,24,01-12-2010 11:45,0.12,17908,United Kingdom
536409,84906,PINK B'FLY C/COVER W BOBBLES,1,01-12-2010 11:45,5.95,17908,United Kingdom
536409,21867,PINK UNION JACK  LUGGAGE TAG,1,01-12-2010 11:45,1.25,17908,United Kingdom
536409,22075,6 RIBBONS ELEGANT CHRISTMAS ,1,01-12-2010 11:45,1.65,17908,United Kingdom
536409,21866,UNION JACK FLAG LUGGAGE TAG,1,01-12-2010 11:45,1.25,17908,United Kingdom
536409,21326,AGED GLASS SILVER T-LIGHT HOLDER,12,01-12-2010 11:45,0.65,17908,United Kingdom
536409,21065,BOOM BOX SPEAKER GIRLS,1,01-12-2010 11:45,5.95,17908,United Kingdom
536409,22074,6 RIBBONS SHIMMERING PINKS ,1,01-12-2010 11:45,1.65,17908,United Kingdom
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,01-12-2010 11:45,2.95,17908,United Kingdom
536409,20713,JUMBO BAG OWLS,1,01-12-2010 11:45,1.95,17908,United Kingdom
536409,20966,SANDWICH BATH SPONGE,2,01-12-2010 11:45,1.25,17908,United Kingdom
536409,21116,OWL DOORSTOP,1,01-12-2010 11:45,4.95,17908,United Kingdom
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,2,01-12-2010 11:45,6.35,17908,United Kingdom
536409,22633,HAND WARMER UNION JACK,1,01-12-2010 11:45,2.1,17908,United Kingdom
536409,22866,HAND WARMER SCOTTY DOG DESIGN,1,01-12-2010 11:45,2.1,17908,United Kingdom
536409,22198,LARGE POPCORN HOLDER ,1,01-12-2010 11:45,1.65,17908,United Kingdom
536409,21824,PAINTED METAL STAR WITH HOLLY BELLS,3,01-12-2010 11:45,1.45,17908,United Kingdom
536409,21823,PAINTED METAL HEART WITH HOLLY BELL,3,01-12-2010 11:45,1.45,17908,United Kingdom
536409,22153,ANGEL DECORATION STARS ON DRESS,6,01-12-2010 11:45,0.42,17908,United Kingdom
536409,22197,SMALL POPCORN HOLDER,2,01-12-2010 11:45,0.85,17908,United Kingdom
536409,85099B,JUMBO BAG RED RETROSPOT,2,01-12-2010 11:45,1.95,17908,United Kingdom
536409,85099F,JUMBO BAG STRAWBERRY,1,01-12-2010 11:45,1.95,17908,United Kingdom
536409,20717,STRAWBERRY SHOPPER BAG,1,01-12-2010 11:45,1.25,17908,United Kingdom
536409,20723,STRAWBERRY CHARLOTTE BAG,1,01-12-2010 11:45,0.85,17908,United Kingdom
536409,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,01-12-2010 11:45,2.95,17908,United Kingdom
536409,21980,PACK OF 12 RED RETROSPOT TISSUES ,12,01-12-2010 11:45,0.29,17908,United Kingdom
536409,22111,SCOTTIE DOG HOT WATER BOTTLE,1,01-12-2010 11:45,4.95,17908,United Kingdom
536409,22112,CHOCOLATE HOT WATER BOTTLE,1,01-12-2010 11:45,4.95,17908,United Kingdom
536412,20728,LUNCH BAG CARS BLUE,3,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22382,LUNCH BAG SPACEBOY DESIGN ,3,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22662,LUNCH BAG DOLLY GIRL DESIGN,4,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22383,LUNCH BAG SUKI  DESIGN ,3,01-12-2010 11:49,1.65,17920,United Kingdom
536412,20727,LUNCH BAG  BLACK SKULL.,3,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22630,DOLLY GIRL LUNCH BOX,1,01-12-2010 11:49,1.95,17920,United Kingdom
536412,22629,SPACEBOY LUNCH BOX ,1,01-12-2010 11:49,1.95,17920,United Kingdom
536412,21245,GREEN POLKADOT PLATE ,1,01-12-2010 11:49,1.69,17920,United Kingdom
536412,21244,BLUE POLKADOT PLATE ,1,01-12-2010 11:49,1.69,17920,United Kingdom
536412,21242,RED RETROSPOT PLATE ,1,01-12-2010 11:49,1.69,17920,United Kingdom
536412,21243,PINK  POLKADOT PLATE ,1,01-12-2010 11:49,1.69,17920,United Kingdom
536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22273,FELTCRAFT DOLL MOLLY,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22940,FELTCRAFT CHRISTMAS FAIRY,3,01-12-2010 11:49,4.25,17920,United Kingdom
536412,22652,TRAVEL SEWING KIT,5,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22759,SET OF 3 NOTEBOOKS IN PARCEL,1,01-12-2010 11:49,1.65,17920,United Kingdom
536412,21880,RED RETROSPOT TAPE,10,01-12-2010 11:49,0.65,17920,United Kingdom
536412,21738,COSY SLIPPER SHOES SMALL  RED ,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22077,6 RIBBONS RUSTIC CHARM,1,01-12-2010 11:49,1.65,17920,United Kingdom
536412,85049E,SCANDINAVIAN REDS RIBBONS,3,01-12-2010 11:49,1.25,17920,United Kingdom
536412,22961,JAM MAKING SET PRINTED,24,01-12-2010 11:49,1.45,17920,United Kingdom
536412,21448,12 DAISY PEGS IN WOOD BOX,2,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22837,HOT WATER BOTTLE BABUSHKA ,3,01-12-2010 11:49,4.65,17920,United Kingdom
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,01-12-2010 11:49,3.75,17920,United Kingdom
536412,22940,FELTCRAFT CHRISTMAS FAIRY,1,01-12-2010 11:49,4.25,17920,United Kingdom
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,01-12-2010 11:49,3.75,17920,United Kingdom
536412,22077,6 RIBBONS RUSTIC CHARM,2,01-12-2010 11:49,1.65,17920,United Kingdom
536412,21738,COSY SLIPPER SHOES SMALL  RED ,2,01-12-2010 11:49,2.95,17920,United Kingdom
536412,85049E,SCANDINAVIAN REDS RIBBONS,1,01-12-2010 11:49,1.25,17920,United Kingdom
536412,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,6,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,01-12-2010 11:49,2.1,17920,United Kingdom
536412,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,01-12-2010 11:49,2.1,17920,United Kingdom
536412,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,3,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22077,6 RIBBONS RUSTIC CHARM,7,01-12-2010 11:49,1.65,17920,United Kingdom
536412,21448,12 DAISY PEGS IN WOOD BOX,1,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22759,SET OF 3 NOTEBOOKS IN PARCEL,5,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22242,5 HOOK HANGER MAGIC TOADSTOOL,5,01-12-2010 11:49,1.65,17920,United Kingdom
536412,85049E,SCANDINAVIAN REDS RIBBONS,12,01-12-2010 11:49,1.25,17920,United Kingdom
536412,21731,RED TOADSTOOL LED NIGHT LIGHT,5,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22243,5 HOOK HANGER RED MAGIC TOADSTOOL,1,01-12-2010 11:49,1.65,17920,United Kingdom
536412,21739,COSY SLIPPER SHOES SMALL GREEN,2,01-12-2010 11:49,2.95,17920,United Kingdom
536412,21738,COSY SLIPPER SHOES SMALL  RED ,5,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22271,FELTCRAFT DOLL ROSIE,2,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22273,FELTCRAFT DOLL MOLLY,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22274,FELTCRAFT DOLL EMILY,2,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,01-12-2010 11:49,3.75,17920,United Kingdom
536412,22751,FELTCRAFT PRINCESS OLIVIA DOLL,2,01-12-2010 11:49,3.75,17920,United Kingdom
536412,21034,REX CASH+CARRY JUMBO SHOPPER,1,01-12-2010 11:49,0.95,17920,United Kingdom
536412,22273,FELTCRAFT DOLL MOLLY,2,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22568,FELTCRAFT CUSHION OWL,3,01-12-2010 11:49,3.75,17920,United Kingdom
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,01-12-2010 11:49,2.1,17920,United Kingdom
536412,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,01-12-2010 11:49,2.1,17920,United Kingdom
536412,22570,FELTCRAFT CUSHION RABBIT,3,01-12-2010 11:49,3.75,17920,United Kingdom
536412,22569,FELTCRAFT CUSHION BUTTERFLY,2,01-12-2010 11:49,3.75,17920,United Kingdom
536412,21448,12 DAISY PEGS IN WOOD BOX,1,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,22569,FELTCRAFT CUSHION BUTTERFLY,2,01-12-2010 11:49,3.75,17920,United Kingdom
536412,21448,12 DAISY PEGS IN WOOD BOX,2,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22968,ROSE COTTAGE KEEPSAKE BOX ,4,01-12-2010 11:49,9.95,17920,United Kingdom
536412,22902,TOTE BAG I LOVE LONDON,7,01-12-2010 11:49,2.1,17920,United Kingdom
536412,21448,12 DAISY PEGS IN WOOD BOX,2,01-12-2010 11:49,1.65,17920,United Kingdom
536412,22902,TOTE BAG I LOVE LONDON,7,01-12-2010 11:49,2.1,17920,United Kingdom
536412,21710,FOLDING UMBRELLA PINKWHITE POLKADOT,1,01-12-2010 11:49,4.95,17920,United Kingdom
536412,21708,FOLDING UMBRELLA CREAM POLKADOT,1,01-12-2010 11:49,4.95,17920,United Kingdom
536412,21711,FOLDING UMBRELLA WHITE/RED POLKADOT,1,01-12-2010 11:49,4.95,17920,United Kingdom
536412,22179,SET 10 LIGHTS NIGHT OWL,2,01-12-2010 11:49,6.75,17920,United Kingdom
536412,22197,SMALL POPCORN HOLDER,5,01-12-2010 11:49,0.85,17920,United Kingdom
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,01-12-2010 11:49,2.95,17920,United Kingdom
536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,01-12-2010 11:49,4.95,17920,United Kingdom
536412,22468,BABUSHKA LIGHTS STRING OF 10,2,01-12-2010 11:49,6.75,17920,United Kingdom
536412,20725,LUNCH BAG RED RETROSPOT,1,01-12-2010 11:49,1.65,17920,United Kingdom
536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,21708,FOLDING UMBRELLA CREAM POLKADOT,1,01-12-2010 11:49,4.95,17920,United Kingdom
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,01-12-2010 11:49,2.95,17920,United Kingdom
536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,1,01-12-2010 11:49,4.95,17920,United Kingdom
536412,22988,SOLDIERS EGG CUP ,6,01-12-2010 11:49,1.25,17920,United Kingdom
536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,1,01-12-2010 11:49,2.95,17920,United Kingdom
536412,20750,RED RETROSPOT MINI CASES,1,01-12-2010 11:49,7.95,17920,United Kingdom
536414,22139,,56,01-12-2010 11:52,0,,United Kingdom
536415,22952,60 CAKE CASES VINTAGE CHRISTMAS,10,01-12-2010 11:57,0.55,12838,United Kingdom
536415,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,01-12-2010 11:57,2.95,12838,United Kingdom
536415,22739,RIBBON REEL CHRISTMAS SOCK BAUBLE,3,01-12-2010 11:57,1.65,12838,United Kingdom
536415,22738,RIBBON REEL SNOWY VILLAGE,3,01-12-2010 11:57,1.65,12838,United Kingdom
536415,22736,RIBBON REEL MAKING SNOWMEN ,3,01-12-2010 11:57,1.65,12838,United Kingdom
536415,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,5,01-12-2010 11:57,0.85,12838,United Kingdom
536415,35591T,TURQUOISE CHRISTMAS TREE ,2,01-12-2010 11:57,1.25,12838,United Kingdom
536415,22186,RED STAR CARD HOLDER,5,01-12-2010 11:57,2.95,12838,United Kingdom
536415,22695,WICKER WREATH SMALL,3,01-12-2010 11:57,1.45,12838,United Kingdom
536415,22470,HEART OF WICKER LARGE,1,01-12-2010 11:57,2.95,12838,United Kingdom
536415,22580,ADVENT CALENDAR GINGHAM SACK,1,01-12-2010 11:57,5.95,12838,United Kingdom
536415,22469,HEART OF WICKER SMALL,5,01-12-2010 11:57,1.65,12838,United Kingdom
536415,22147,FELTCRAFT BUTTERFLY HEARTS,4,01-12-2010 11:57,1.45,12838,United Kingdom
536415,22130,PARTY CONE CHRISTMAS DECORATION ,6,01-12-2010 11:57,0.85,12838,United Kingdom
536415,21791,VINTAGE HEADS AND TAILS CARD GAME ,3,01-12-2010 11:57,1.25,12838,United Kingdom
536415,22694,WICKER STAR ,5,01-12-2010 11:57,2.1,12838,United Kingdom
536415,21790,VINTAGE SNAP CARDS,3,01-12-2010 11:57,0.85,12838,United Kingdom
536415,22149,FELTCRAFT 6 FLOWER FRIENDS,4,01-12-2010 11:57,2.1,12838,United Kingdom
536415,22900, SET 2 TEA TOWELS I LOVE LONDON ,3,01-12-2010 11:57,2.95,12838,United Kingdom
536415,22961,JAM MAKING SET PRINTED,3,01-12-2010 11:57,1.45,12838,United Kingdom
536415,22321,BIRD DECORATION RED RETROSPOT,12,01-12-2010 11:57,0.85,12838,United Kingdom
536415,22594,CHRISTMAS GINGHAM TREE,5,01-12-2010 11:57,0.85,12838,United Kingdom
536415,22593,CHRISTMAS GINGHAM STAR,4,01-12-2010 11:57,0.85,12838,United Kingdom
536415,22595,CHRISTMAS GINGHAM HEART,6,01-12-2010 11:57,0.85,12838,United Kingdom
536415,21986,PACK OF 12 PINK POLKADOT TISSUES,12,01-12-2010 11:57,0.29,12838,United Kingdom
536415,22750,FELTCRAFT PRINCESS LOLA DOLL,2,01-12-2010 11:57,3.75,12838,United Kingdom
536415,22616,PACK OF 12 LONDON TISSUES ,12,01-12-2010 11:57,0.29,12838,United Kingdom
536415,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,1,01-12-2010 11:57,1.25,12838,United Kingdom
536415,22899,CHILDREN'S APRON DOLLY GIRL ,2,01-12-2010 11:57,2.1,12838,United Kingdom
536415,22367,CHILDRENS APRON SPACEBOY DESIGN,3,01-12-2010 11:57,1.95,12838,United Kingdom
536415,22942,CHRISTMAS LIGHTS 10 SANTAS ,3,01-12-2010 11:57,8.5,12838,United Kingdom
536415,22941,CHRISTMAS LIGHTS 10 REINDEER,3,01-12-2010 11:57,8.5,12838,United Kingdom
536415,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,6,01-12-2010 11:57,2.95,12838,United Kingdom
536415,22940,FELTCRAFT CHRISTMAS FAIRY,2,01-12-2010 11:57,4.25,12838,United Kingdom
536415,21212,PACK OF 72 RETROSPOT CAKE CASES,2,01-12-2010 11:57,0.55,12838,United Kingdom
536415,21976,PACK OF 60 MUSHROOM CAKE CASES,2,01-12-2010 11:57,0.55,12838,United Kingdom
536415,22951,60 CAKE CASES DOLLY GIRL DESIGN,2,01-12-2010 11:57,0.55,12838,United Kingdom
536415,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,01-12-2010 11:57,0.55,12838,United Kingdom
536415,22834,HAND WARMER BABUSHKA DESIGN,3,01-12-2010 11:57,2.1,12838,United Kingdom
536415,22867,HAND WARMER BIRD DESIGN,3,01-12-2010 11:57,2.1,12838,United Kingdom
536415,22865,HAND WARMER OWL DESIGN,3,01-12-2010 11:57,2.1,12838,United Kingdom
536415,22632,HAND WARMER RED RETROSPOT,3,01-12-2010 11:57,2.1,12838,United Kingdom
536415,21916,SET 12 RETRO WHITE CHALK STICKS,2,01-12-2010 11:57,0.42,12838,United Kingdom
536415,22587,FELTCRAFT HAIRBAND RED AND BLUE,4,01-12-2010 11:57,0.85,12838,United Kingdom
